call_id,filename,animal_id,noise_type_ref,classifier_primary_noise,call_type,label_status,mixed_reference_label,classifier_matches_reference,suggested_noise_type,metadata_update_required,review_note
04-040920-02_vehicle_1,04-040920-02_vehicle_1.wav,04-040920-02,vehicle,vehicle,rumble,trusted,false,true,vehicle,false,Classifier agrees with reference
04-040920-02_vehicle_2,04-040920-02_vehicle_2.wav,04-040920-02,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
04-040920-03_vehicle_noise_1,04-040920-03_vehicle_noise_1.wav,04-040920-03,vehicle,vehicle,rumble,trusted,false,true,vehicle,false,Classifier agrees with reference
04-061218-25_vehicle_noise_1,04-061218-25_vehicle_noise_1.wav,04-061218-25,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
061220-24_airplane_01,061220-24_airplane_01.wav,061220-24,airplane,vehicle,trumpet,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
090224-09_generator_01,090224-09_generator_01.wav,090224-09,generator,generator,rumble,trusted,false,true,generator,false,Classifier agrees with reference
1989-06_airplane_01,1989-06_airplane_01.wav,1989-06,airplane,vehicle,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
1989-08_airplane_01,1989-08_airplane_01.wav,1989-08,airplane,vehicle,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
1989-08_airplane_02,1989-08_airplane_02.wav,1989-08,airplane,vehicle,unknown,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
1989-08_airplane_03,1989-08_airplane_03.wav,1989-08,airplane,vehicle,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2000-23_background_and_vehicle_noise_2,2000-23_background_and_vehicle_noise_2.wav,2000-23,vehicle,airplane,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-23_background_noise_1,2000-23_background_noise_1.wav,2000-23,background,generator,rumble,review_classifier_mismatch,false,false,background,false,Classifier disagrees with filename-derived reference
2000-23_background_vehicle_noise,2000-23_background_vehicle_noise.wav,2000-23,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-23_vehicle_noise_1,2000-23_vehicle_noise_1.wav,2000-23,vehicle,vehicle,rumble,trusted,false,true,vehicle,false,Classifier agrees with reference
2000-23_vehicle_noise_2,2000-23_vehicle_noise_2.wav,2000-23,vehicle,airplane,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-23_vehicle_noise_3,2000-23_vehicle_noise_3.wav,2000-23,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-23_vehicle_noise_4,2000-23_vehicle_noise_4.wav,2000-23,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-24_generator_noise_1,2000-24_generator_noise_1.wav,2000-24,generator,generator,rumble,trusted,false,true,generator,false,Classifier agrees with reference
2000-24_generator_noise_2,2000-24_generator_noise_2.wav,2000-24,generator,generator,unknown,trusted,false,true,generator,false,Classifier agrees with reference
2000-24_generator_noise_3,2000-24_generator_noise_3.wav,2000-24,generator,vehicle,unknown,review_classifier_mismatch,false,false,generator,false,Classifier disagrees with filename-derived reference
2000-24_generator_noise_4,2000-24_generator_noise_4.wav,2000-24,generator,generator,trumpet,trusted,false,true,generator,false,Classifier agrees with reference
2000-24_vehicle_and_generator_noise_1,2000-24_vehicle_and_generator_noise_1.wav,2000-24,vehicle+generator,generator,rumble,trusted,true,true,vehicle+generator,false,Classifier agrees with reference
2000-24_vehicle_noise_1,2000-24_vehicle_noise_1.wav,2000-24,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-24_vehicle_noise_2,2000-24_vehicle_noise_2.wav,2000-24,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-27_airplane_01,2000-27_airplane_01.wav,2000-27,airplane,vehicle,unknown,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2000-3_airplane_01,2000-3_airplane_01.wav,2000-3,airplane,vehicle,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2000-3_airplane_02,2000-3_airplane_02.wav,2000-3,airplane,airplane,rumble,trusted,false,true,airplane,false,Classifier agrees with reference
2000-3_airplane_03,2000-3_airplane_03.wav,2000-3,airplane,airplane,rumble,trusted,false,true,airplane,false,Classifier agrees with reference
2000-3_vehicle_01,2000-3_vehicle_01.wav,2000-3,vehicle,generator,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
2000-4 _airplane_01,2000-4 _airplane_01.wav,2000-4,airplane,generator,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2000-4_airplane_02,2000-4_airplane_02.wav,2000-4,airplane,wind,trumpet,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2002-2_airplane_01,2002-2_airplane_01.wav,2002-2,airplane,vehicle,unknown,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
2003-7_airplane_01,2003-7_airplane_01.wav,2003-7,airplane,vehicle,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
99-22A_airplane_01,99-22A_airplane_01.wav,99-22A,airplane,airplane,trumpet,trusted,false,true,airplane,false,Classifier agrees with reference
99-24_airplane_01,99-24_airplane_01.wav,99-24,airplane,vehicle,trumpet,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
99-37_airplane_02,99-37_airplane_02.wav,99-37,airplane,vehicle,rumble,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
99-37_airplane_and_vehicle_01,99-37_airplane_and_vehicle_01.wav,99-37,airplane+vehicle,vehicle,unknown,trusted,true,true,airplane+vehicle,false,Classifier agrees with reference
99-37_vehicle_01,99-37_vehicle_01.wav,99-37,vehicle,airplane,rumble,review_classifier_mismatch,false,false,vehicle,false,Classifier disagrees with filename-derived reference
99-45_airplane_01,99-45_airplane_01.wav,99-45,airplane,vehicle,unknown,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
99-45_airplane_03,99-45_airplane_03.wav,99-45,airplane,vehicle,unknown,review_classifier_mismatch,false,false,airplane,false,Classifier disagrees with filename-derived reference
99-45_vehicle_01,99-45_vehicle_01.wav,99-45,vehicle,vehicle,unknown,trusted,false,true,vehicle,false,Classifier agrees with reference
